Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Tobacco,Clayey,28,310,101,354,Millets
Rice,Saline,35,221,63,680,Sorghum
Barley,Sandy,26,259,60,710,Millets
Groundnut,Clayey,28,140,34,414,Millets
Millets,Sandy,24,379,108,382,Millets
Cotton,Saline,15,391,1,516,Millets
Groundnut,Saline,29,372,19,322,Millets
Wheat,Saline,12,38,65,88,Cotton
Wheat,Clayey,39,399,0,231,Cotton
Cotton,Silt,35,82,124,152,Millets
Wheat,Loamy,32,28,127,575,Cotton
Sorghum,Clayey,40,105,97,555,Millets
Sorghum,Sandy,17,369,59,612,Millets
Millets,Saline,19,364,29,335,Millets
Millets,Silt,19,238,45,354,Millets
Tobacco,Clayey,37,358,2,543,Millets
Groundnut,Saline,30,70,11,320,Millets
Sorghum,Clayey,17,182,108,347,Millets
Cotton,Loamy,30,301,55,893,Millets
Soybean,Saline,27,324,37,694,Millets
Groundnut,Saline,35,102,39,435,Millets
Soybean,Silt,37,297,33,161,Millets
Maize,Clayey,34,245,111,204,Rice
Millets,Silt,28,342,138,881,Millets
Barley,Clayey,31,164,115,783,Millets
Millets,Loamy,30,205,48,312,Millets
Cotton,Sandy,16,333,141,467,Millets
Groundnut,Clayey,18,324,80,890,Millets
Wheat,Saline,23,366,68,892,Cotton
Barley,Silt,18,201,86,723,Millets
Barley,Clayey,18,214,3,212,Millets
Maize,Silt,31,278,82,42,Rice
Millets,Sandy,14,379,120,425,Millets
Wheat,Silt,19,112,74,802,Cotton
Barley,Saline,19,133,110,642,Millets
Rice,Loamy,40,22,110,195,Wheat
Cotton,Loamy,37,190,111,896,Millets
Millets,Silt,38,37,52,250,Millets
Rice,Saline,34,252,66,819,Sorghum
Cotton,Silt,14,248,47,794,Millets
Millets,Silt,11,204,104,673,Millets
Wheat,Loamy,17,232,4,826,Cotton
Wheat,Sandy,23,214,62,676,Soybean
Barley,Saline,19,388,131,35,Millets
Millets,Sandy,25,254,3,462,Millets
Rice,Loamy,37,328,72,113,Wheat
Sorghum,Sandy,15,342,150,565,Millets
Groundnut,Silt,35,331,105,745,Millets
Groundnut,Sandy,26,146,90,864,Millets
Groundnut,Sandy,38,213,67,415,Millets
Tobacco,Clayey,13,380,129,84,Millets
Tobacco,Loamy,24,195,114,298,Millets
Maize,Saline,27,109,11,872,Rice
Maize,Loamy,25,149,34,614,Cotton
Groundnut,Silt,28,90,53,312,Millets
Millets,Silt,17,46,109,414,Millets
Maize,Clayey,32,306,123,361,Rice
Millets,Loamy,20,256,4,623,Millets
Wheat,Sandy,35,291,132,694,Soybean
Sorghum,Loamy,38,258,89,445,Millets
Cotton,Loamy,20,108,23,448,Millets
Rice,Loamy,38,254,45,630,Wheat
Millets,Silt,25,196,79,90,Millets
Barley,Clayey,18,38,26,295,Millets
Barley,Silt,11,63,66,821,Millets
Cotton,Loamy,12,300,61,263,Millets
Tobacco,Loamy,31,175,17,872,Millets
Groundnut,Clayey,27,260,51,885,Millets
Sorghum,Sandy,37,301,15,393,Millets
Tobacco,Loamy,23,4,81,830,Millets
Tobacco,Sandy,25,108,123,662,Millets
Barley,Saline,11,242,75,787,Millets
Cotton,Silt,40,172,44,680,Millets
Groundnut,Loamy,38,155,26,307,Millets
Tobacco,Loamy,22,173,75,481,Millets
Maize,Silt,40,4,65,712,Rice
Wheat,Clayey,11,392,120,856,Cotton
Tobacco,Saline,12,259,77,774,Millets
Wheat,Clayey,12,273,99,140,Cotton
Maize,Silt,35,27,21,318,Rice
Barley,Saline,30,169,42,807,Millets
Sorghum,Clayey,29,45,25,28,Millets
Sorghum,Clayey,37,84,137,119,Millets
Tobacco,Sandy,20,41,13,56,Millets
Barley,Saline,16,12,129,714,Millets
Rice,Saline,14,138,95,673,Sorghum
Cotton,Silt,10,295,99,483,Millets
Rice,Sandy,10,236,72,519,Sorghum
Cotton,Clayey,27,348,88,579,Millets
Millets,Silt,40,196,93,123,Millets
Rice,Loamy,10,248,55,242,Wheat
Groundnut,Silt,16,189,120,176,Millets
Groundnut,Sandy,36,127,56,148,Millets
Groundnut,Silt,14,62,85,427,Millets
Barley,Silt,29,205,70,440,Millets
Soybean,Loamy,12,61,71,567,Millets
Millets,Sandy,36,148,18,762,Millets
Millets,Silt,31,262,42,380,Millets
Maize,Silt,35,258,138,50,Rice
Groundnut,Loamy,21,86,73,785,Millets
Groundnut,Saline,29,95,12,882,Millets
Cotton,Clayey,33,1,149,378,Millets
Tobacco,Silt,36,278,70,794,Millets
Millets,Saline,14,155,91,608,Millets
Barley,Sandy,36,345,58,104,Millets
Sorghum,Loamy,30,278,55,19,Millets
Rice,Clayey,10,326,131,148,Wheat
Rice,Clayey,12,191,134,498,Wheat
Wheat,Silt,32,348,18,572,Cotton
Sorghum,Saline,36,229,5,216,Millets
Sorghum,Silt,19,172,23,387,Millets
Maize,Silt,18,385,73,80,Rice
Soybean,Saline,29,123,48,527,Millets
Barley,Silt,18,119,27,8,Millets
Sorghum,Loamy,20,88,41,377,Millets
Wheat,Saline,40,395,45,855,Cotton
Barley,Saline,31,277,137,799,Millets
Groundnut,Loamy,11,268,22,685,Millets
Tobacco,Loamy,32,378,114,884,Millets
Wheat,Silt,24,240,122,746,Cotton
Millets,Silt,34,382,86,410,Millets
Millets,Saline,19,375,4,625,Millets
Millets,Clayey,14,396,23,447,Millets
Barley,Sandy,40,191,37,474,Millets
Wheat,Sandy,10,284,2,557,Soybean
Millets,Sandy,31,379,41,414,Millets
Sorghum,Sandy,32,33,85,401,Millets
Sorghum,Saline,14,248,100,498,Millets
Wheat,Sandy,17,267,122,232,Soybean
Tobacco,Clayey,26,290,96,757,Millets
Soybean,Saline,32,125,102,843,Millets
Groundnut,Silt,33,213,101,370,Millets
Wheat,Loamy,17,278,109,347,Cotton
Rice,Loamy,19,372,2,222,Wheat
Millets,Silt,23,271,127,738,Millets
Barley,Saline,29,79,86,192,Millets
Wheat,Loamy,13,242,108,94,Cotton
Groundnut,Silt,29,110,0,216,Millets
Cotton,Loamy,21,347,13,472,Millets
Millets,Saline,21,389,69,10,Millets
Groundnut,Clayey,25,255,57,118,Millets
Tobacco,Silt,15,325,38,680,Millets
Groundnut,Clayey,33,297,104,348,Millets
Cotton,Saline,35,43,143,548,Millets
Soybean,Sandy,18,168,9,497,Millets
Millets,Clayey,34,317,19,516,Millets
Millets,Sandy,11,216,117,124,Millets
Cotton,Saline,12,186,139,554,Millets
Barley,Loamy,30,61,88,736,Millets
Cotton,Clayey,18,3,114,428,Millets
Soybean,Clayey,11,204,137,225,Millets
Barley,Clayey,14,66,61,442,Millets
Soybean,Loamy,28,348,12,524,Millets
Barley,Saline,30,350,31,531,Millets
Maize,Loamy,34,258,84,306,Cotton
Sorghum,Sandy,24,249,67,721,Millets
Sorghum,Silt,14,285,27,85,Millets
Barley,Clayey,14,13,65,25,Millets
Groundnut,Silt,39,29,74,47,Millets
Tobacco,Loamy,17,53,107,376,Millets
Groundnut,Saline,38,13,41,163,Millets
Barley,Sandy,22,243,135,876,Millets
Wheat,Loamy,39,393,59,867,Cotton
Sorghum,Sandy,23,35,129,544,Millets
Tobacco,Saline,29,115,119,558,Millets
Groundnut,Sandy,36,152,55,148,Millets
Tobacco,Saline,29,273,73,230,Millets
Barley,Silt,12,328,129,542,Millets
Millets,Silt,32,24,6,304,Millets
Sorghum,Clayey,11,392,91,267,Millets
Wheat,Clayey,40,137,12,542,Cotton
Barley,Loamy,21,214,47,8,Millets
Maize,Loamy,38,35,72,66,Cotton
Sorghum,Loamy,22,76,61,441,Millets
Millets,Saline,28,131,82,391,Millets
Groundnut,Saline,23,21,76,299,Millets
Soybean,Clayey,18,13,48,528,Millets
Groundnut,Silt,37,144,56,17,Millets
Barley,Loamy,13,2,98,491,Millets
Groundnut,Saline,26,376,43,470,Millets
Wheat,Silt,37,96,32,392,Cotton
Rice,Silt,14,31,91,815,Sorghum
Soybean,Silt,21,378,129,133,Millets
Groundnut,Sandy,10,186,22,469,Millets
Cotton,Saline,39,227,40,791,Millets
Rice,Silt,28,238,136,261,Sorghum
Sorghum,Clayey,33,369,126,272,Millets
Maize,Silt,22,87,69,398,Rice
Maize,Sandy,11,107,22,156,Cotton
Maize,Silt,15,52,54,348,Rice
Sorghum,Sandy,40,355,26,537,Millets
Cotton,Clayey,40,252,83,7,Millets
Soybean,Sandy,11,229,80,118,Millets
Cotton,Saline,14,377,19,92,Millets
Cotton,Silt,14,302,131,283,Millets
Soybean,Loamy,39,296,137,485,Millets
Barley,Sandy,38,108,71,541,Millets
Maize,Clayey,25,342,48,309,Rice
Cotton,Saline,39,262,95,279,Millets
Maize,Sandy,27,240,58,890,Cotton
Cotton,Loamy,21,234,149,575,Millets
Soybean,Silt,21,52,73,238,Millets
Tobacco,Saline,35,252,150,819,Millets
Tobacco,Sandy,28,86,78,874,Millets
Maize,Silt,25,65,61,96,Rice
Barley,Silt,15,263,118,693,Millets
Soybean,Loamy,39,14,4,392,Millets
Millets,Silt,19,49,110,561,Millets
Cotton,Sandy,29,145,78,375,Millets
Rice,Silt,30,67,25,858,Sorghum
Groundnut,Clayey,17,367,137,815,Millets
Millets,Saline,12,159,11,69,Millets
Cotton,Sandy,32,176,101,356,Millets
Tobacco,Sandy,34,133,111,245,Millets
Soybean,Saline,10,317,105,727,Millets
Groundnut,Clayey,25,21,104,769,Millets
Groundnut,Saline,37,20,42,165,Millets
Maize,Clayey,21,3,147,89,Rice
Soybean,Clayey,21,22,120,786,Millets
Sorghum,Clayey,10,28,76,594,Millets
Maize,Loamy,29,153,28,450,Cotton
Maize,Silt,20,105,102,523,Rice
Sorghum,Saline,39,123,90,368,Millets
Millets,Saline,33,189,73,229,Millets
Maize,Silt,15,302,79,256,Rice
Millets,Saline,22,373,110,837,Millets
Maize,Silt,40,97,117,501,Rice
Maize,Sandy,12,360,117,61,Cotton
Tobacco,Sandy,32,29,98,342,Millets
Sorghum,Silt,14,285,135,728,Millets
Groundnut,Clayey,39,155,64,362,Millets
Sorghum,Saline,19,201,99,238,Millets
Millets,Saline,19,61,97,821,Millets
Maize,Saline,20,179,96,12,Rice
Wheat,Silt,29,366,141,773,Cotton
Rice,Silt,32,93,115,153,Sorghum
Tobacco,Loamy,10,305,83,1,Millets
Maize,Saline,15,19,90,223,Rice
Soybean,Clayey,33,282,62,8,Millets
Rice,Saline,30,165,143,626,Sorghum
Wheat,Sandy,19,36,37,393,Soybean
Barley,Clayey,16,39,81,393,Millets
Tobacco,Sandy,22,162,88,84,Millets
Rice,Saline,23,154,123,49,Sorghum
Soybean,Silt,16,163,111,134,Millets
Cotton,Loamy,14,91,145,536,Millets
Maize,Loamy,40,302,2,806,Cotton
