State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,FAQ,27-07-2023,4100,4500,4350
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,27-07-2023,2200,3000,2450
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,27-07-2023,2350,3000,2700
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,27-07-2023,7000,7500,7250
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,27-07-2023,8400,9000,8850
Gujarat,Amreli,Damnagar,Ginger(Green),Green Ginger,FAQ,27-07-2023,11000,14000,12500
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,FAQ,27-07-2023,7200,8000,7550
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,27-07-2023,6800,7500,7350
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,27-07-2023,1850,2550,2200
Gujarat,Amreli,Damnagar,Tomato,Local,FAQ,27-07-2023,9800,10000,9950
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,27-07-2023,10000,20000,15000
Himachal Pradesh,Kangra,Palampur,Apple,Apple,Medium,27-07-2023,20000,21000,20500
Himachal Pradesh,Kangra,Palampur,Apple,Kullu Royal Delicious,Medium,27-07-2023,8000,13000,10500
Himachal Pradesh,Kangra,Palampur,Banana,Banana - Ripe,Medium,27-07-2023,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Beetroot,Beetroot,FAQ,27-07-2023,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Bhindi(Ladies Finger),Other,FAQ,27-07-2023,3800,4000,3900
Himachal Pradesh,Kangra,Palampur,Bitter gourd,Other,FAQ,27-07-2023,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Bottle gourd,Bottle Gourd,FAQ,27-07-2023,2800,3800,3300
Himachal Pradesh,Kangra,Palampur,Brinjal,Brinjal,FAQ,27-07-2023,5000,5200,5100
Himachal Pradesh,Kangra,Palampur,Cabbage,Cabbage,FAQ,27-07-2023,2200,2500,2350
Himachal Pradesh,Kangra,Palampur,Capsicum,Capsicum,FAQ,27-07-2023,11000,12000,11500
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,FAQ,27-07-2023,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Cauliflower,Cauliflower,FAQ,27-07-2023,4500,7000,4750
Himachal Pradesh,Kangra,Palampur,Colacasia,Colacasia,FAQ,27-07-2023,4000,4500,4250
Himachal Pradesh,Kangra,Palampur,Coriander(Leaves),Coriander,FAQ,27-07-2023,14000,15000,14500
Himachal Pradesh,Kangra,Palampur,Cucumbar(Kheera),Other,FAQ,27-07-2023,3000,4000,3500
Himachal Pradesh,Kangra,Palampur,French Beans (Frasbean),Other,FAQ,27-07-2023,6000,7000,6500
Himachal Pradesh,Kangra,Palampur,Garlic,Average,FAQ,27-07-2023,10000,13000,11500
Himachal Pradesh,Kangra,Palampur,Ginger(Green),Other,FAQ,27-07-2023,19000,20000,19500
Himachal Pradesh,Kangra,Palampur,Green Chilli,Green Chilly,FAQ,27-07-2023,5500,6000,5750
Himachal Pradesh,Kangra,Palampur,Guava,Other,Medium,27-07-2023,8000,11500,9750
Himachal Pradesh,Kangra,Palampur,Jack Fruit,Jack Fruit,Medium,27-07-2023,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Lemon,Other,FAQ,27-07-2023,4500,4800,4650
Himachal Pradesh,Kangra,Palampur,Mango,Dusheri,Medium,27-07-2023,3000,4500,3750
Himachal Pradesh,Kangra,Palampur,Mango,Totapuri,Medium,27-07-2023,5000,6000,5500
Himachal Pradesh,Kangra,Palampur,Mashrooms,Other,FAQ,27-07-2023,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Mousambi(Sweet Lime),Other,Medium,27-07-2023,4500,5000,4750
Himachal Pradesh,Kangra,Palampur,Onion,Other,FAQ,27-07-2023,2000,2200,2100
Himachal Pradesh,Kangra,Palampur,Papaya,Other,Medium,27-07-2023,4200,4500,4350
Himachal Pradesh,Kangra,Palampur,Pear(Marasebu),Other,Medium,27-07-2023,9000,10000,9500
Himachal Pradesh,Kangra,Palampur,Peas Wet,Other,FAQ,27-07-2023,7000,8000,7500
Himachal Pradesh,Kangra,Palampur,Pineapple,Other,Medium,27-07-2023,4500,5000,4750
Himachal Pradesh,Kangra,Palampur,Plum,Other,Medium,27-07-2023,5000,6000,5500
Himachal Pradesh,Kangra,Palampur,Potato,Other,FAQ,27-07-2023,1700,2100,1900
Himachal Pradesh,Kangra,Palampur,Pumpkin,Other,FAQ,27-07-2023,1500,2500,2000
Himachal Pradesh,Kangra,Palampur,Raddish,Raddish,FAQ,27-07-2023,2200,2500,2350
Himachal Pradesh,Kangra,Palampur,Spinach,Spinach,FAQ,27-07-2023,4500,5000,4750
Himachal Pradesh,Kangra,Palampur,Sponge gourd,Other,FAQ,27-07-2023,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Tinda,Tinda,FAQ,27-07-2023,4500,5000,4750
Kerala,Alappuzha,Harippad,Amaranthus,Other,FAQ,27-07-2023,4000,4500,4000
Kerala,Alappuzha,Harippad,Amphophalus,Other,FAQ,27-07-2023,5000,5500,5000
Kerala,Alappuzha,Harippad,Ashgourd,Other,FAQ,27-07-2023,3000,3500,3000
Kerala,Alappuzha,Harippad,Banana,Nendra Bale,Medium,27-07-2023,5000,5500,5000
Kerala,Alappuzha,Harippad,Banana - Green,Other,FAQ,27-07-2023,3000,3500,3000
Kerala,Alappuzha,Harippad,Beetroot,Other,FAQ,27-07-2023,4000,4500,4000
Kerala,Alappuzha,Harippad,Bhindi(Ladies Finger),Other,FAQ,27-07-2023,4000,4500,4000
Kerala,Alappuzha,Harippad,Bitter gourd,Other,FAQ,27-07-2023,5000,5500,5000
Kerala,Alappuzha,Harippad,Bottle gourd,Other,FAQ,27-07-2023,2000,2500,2000
Kerala,Alappuzha,Harippad,Brinjal,Other,FAQ,27-07-2023,3000,3500,3000
Kerala,Alappuzha,Harippad,Cabbage,Other,FAQ,27-07-2023,3000,3500,3000
Kerala,Alappuzha,Harippad,Capsicum,Other,FAQ,27-07-2023,9000,9500,9000
Kerala,Alappuzha,Harippad,Carrot,Other,FAQ,27-07-2023,6000,6500,6000
Kerala,Alappuzha,Harippad,Cauliflower,Other,FAQ,27-07-2023,4000,4500,4000
Kerala,Alappuzha,Harippad,Colacasia,Other,FAQ,27-07-2023,6000,6400,6000
Kerala,Alappuzha,Harippad,Cowpea(Veg),Other,FAQ,27-07-2023,4000,4500,4000
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),Other,FAQ,27-07-2023,2000,2500,2000
Kerala,Alappuzha,Harippad,Drumstick,Other,FAQ,27-07-2023,5000,5500,5000
Nagaland,Kohima,Jalukie,Bitter gourd,Bitter Gourd,FAQ,27-07-2023,8100,8300,8200
Nagaland,Kohima,Jalukie,Bottle gourd,Bottle Gourd,FAQ,27-07-2023,5400,5600,5500
Nagaland,Kohima,Jalukie,Brinjal,Other,FAQ,27-07-2023,8600,8800,8700
Nagaland,Kohima,Jalukie,Cabbage,Cabbage,FAQ,27-07-2023,7000,7200,7100
Nagaland,Kohima,Jalukie,Ginger(Green),Green Ginger,FAQ,27-07-2023,6400,6600,6500
Nagaland,Kohima,Jalukie,Green Chilli,Green Chilly,FAQ,27-07-2023,20400,20600,20500
Nagaland,Kohima,Jalukie,Leafy Vegetable,Leafy Vegetables,FAQ,27-07-2023,9000,9300,9200
Nagaland,Kohima,Jalukie,Onion,1st Sort,FAQ,27-07-2023,11100,11300,11200
Nagaland,Kohima,Jalukie,Potato,Other,FAQ,27-07-2023,11200,11400,11300
Nagaland,Kohima,Jalukie,Pumpkin,Pumpkin,FAQ,27-07-2023,4400,4600,4500
