N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,Output
138,8.6,560,7.46,0.62,0.7,5.9,0.24,0.31,0.77,8.71,0.11,0
213,7.5,338,7.62,0.75,1.06,25.4,0.3,0.86,1.54,2.89,2.29,0
163,9.6,718,7.59,0.51,1.11,14.3,0.3,0.86,1.57,2.7,2.03,0
157,6.8,475,7.64,0.58,0.94,26,0.34,0.54,1.53,2.65,1.82,0
270,9.9,444,7.63,0.4,0.86,11.8,0.25,0.76,1.69,2.43,2.26,1
220,8.6,444,7.43,0.65,0.72,11.7,0.37,0.66,0.9,2.19,1.82,0
220,7.2,222,7.62,0.43,0.81,7.4,0.34,0.69,1.05,2,1.88,0
207,7,401,7.63,0.59,0.69,7.6,0.32,0.68,0.62,2.43,1.68,0
289,8.6,560,7.58,0.44,0.67,7.3,0.63,0.66,0.94,2.43,1.79,1
138,8.1,739,7.55,0.33,0.78,9,0.69,0.41,1.15,2.75,2,0
151,8.1,549,7.59,0.45,0.97,9.6,0.71,0.38,1.33,2.79,2.41,1
144,7.2,306,7.53,0.73,0.89,9.2,0.63,0.47,1.03,2.79,2.38,0
138,5.3,444,7.68,0.6,0.78,9.7,0.73,0.36,1.32,3.32,2.12,2
144,8.3,549,7.45,0.53,0.81,10.2,0.51,0.56,1.26,2.9,2.29,0
201,7.7,676,7.39,0.77,0.72,9.7,0.58,0.47,1.02,3.77,2.56,1
182,9.2,718,7.47,0.34,0.67,10.6,0.77,0.41,1.28,3.04,2.79,0
238,7.5,771,7.38,0.88,0.75,11,0.46,0.38,1.16,2.96,1.32,0
270,8.1,655,7.45,0.55,0.67,10.2,0.28,0.44,1.26,7.75,2.56,1
213,6.1,803,7.38,0.78,0.61,10.5,0.3,0.49,0.66,7.74,1.85,0
245,8.1,560,7.31,0.63,0.78,11.6,0.29,0.43,0.57,7.73,0.74,0
282,8.3,454,7.43,0.62,0.75,11,0.32,0.5,0.81,4.99,2.65,1
213,8.3,676,7.36,0.51,0.69,23.6,0.28,0.93,1.04,2.17,1.97,0
207,9.4,127,7.62,0.68,0.75,27.2,0.28,0.72,1.04,2.43,0.94,0
307,8.3,11,7.49,0.84,0.69,15.8,0.26,0.57,0.73,2.13,2.47,1
207,7.2,496,7.55,0.61,0.64,26.2,0.24,0.47,1.15,1.99,1.94,0
201,5.5,359,7.44,0.76,0.78,26,0.18,0.83,0.71,2.24,1.91,0
364,7.5,507,7.63,0.52,0.69,14.6,0.23,1.19,0.39,2.16,2.82,1
220,8.3,560,7.42,0.63,0.61,15.8,0.19,1.08,0.34,1.77,0.74,0
245,8.3,560,7.58,0.74,0.83,8.2,0.32,0.96,1.57,2.67,0.59,0
207,7.7,676,7.41,0.42,1,15,0.27,0.92,1.43,3.12,1.85,0
276,8.3,401,7.34,0.53,0.72,14.8,0.28,0.57,1.34,2.15,2.18,1
207,5,560,7.4,0.84,0.67,25.4,0.27,0.46,1.53,2.43,2.12,0
245,5.7,465,7.29,0.63,0.61,22.4,0.25,0.44,1.24,2.11,0.74,0
169,8.1,549,8.23,0.58,0.56,21,0.2,0.38,1.15,3.01,2,1
182,5,560,7.62,0.52,0.47,22.4,0.73,0.46,1.14,2.72,1.97,0
220,8.3,760,7.48,0.59,0.67,24,0.83,0.37,1.99,3.84,0.88,0
138,5.7,401,7.42,0.72,0.78,26,0.37,0.32,1.34,3.77,2,1
238,8.3,697,7.59,0.43,0.83,25.4,0.45,0.43,1.43,2.65,2.29,0
151,8.1,517,7.46,0.43,0.86,16,0.36,0.38,1.92,2.88,0.59,0
207,7.9,612,7.44,0.55,1,14.6,0.45,0.47,1.47,3.16,1.88,0
138,8.3,581,7.63,0.86,0.53,7.2,0.76,0.35,1.42,5.07,2.47,0
182,10.7,708,7.48,0.57,1.11,14.2,0.59,0.92,1.15,6.69,0.65,0
138,7.5,612,7.54,0.72,0.54,16,0.29,0.95,1.91,4.64,2.53,0
207,8.3,370,7.52,0.44,1.03,17.4,0.31,0.81,1.43,4.98,2.41,0
295,8.6,676,7.41,0.48,0.97,26,0.38,0.71,1.97,5.15,2,1
289,5.7,338,7.64,0.57,0.72,14.6,0.18,1.06,0.92,2.46,1.85,1
207,7,444,7.55,0.57,0.83,8.6,0.18,0.96,0.93,2.15,2.18,0
138,8.1,718,7.48,0.63,0.94,12.6,0.19,1.02,1.15,2.24,2.47,0
138,8.3,454,7.65,0.58,1.03,14,0.25,1.05,1.19,2.16,2.82,0
82,7.9,496,7.37,0.51,1.06,11,0.2,1.03,1.04,2.35,1.82,1
107,8.3,612,7.43,0.43,0.75,7.2,0.18,0.95,0.89,2.16,0.74,0
38,7,370,7.57,0.42,1.08,14,0.18,0.86,1.04,2,2.23,1
88,7.2,655,7.46,0.44,1,13.1,0.18,0.78,1.03,2.27,1.94,2
19,5.3,708,7.38,0.29,1.06,12.8,0.17,0.76,0.92,2.88,2.21,0
56,7.7,444,7.32,0.67,0.83,11.2,0.23,0.95,0.88,2.65,1.82,0
50,8.3,475,7.36,0.34,0.83,11.6,0.43,0.59,0.89,2.2,1.32,1
38,7.5,454,7.4,0.48,0.92,8.8,0.3,1.29,1.71,4.99,2.59,0
25,8.1,591,7.33,0.43,0.78,14,0.46,0.35,1.74,2.38,2.29,0
82,7.2,507,7.63,0.44,0.61,27.2,0.56,0.35,1.6,2.66,2.82,1
88,7.7,708,7.52,0.37,0.78,21,0.19,0.74,1.43,2.42,2.29,0
144,7.2,623,7.57,0.54,0.92,22.8,0.37,0.51,1.69,6,2.26,0
213,8.6,718,7.59,0.68,0.86,23,0.3,0.46,1.53,9.53,2.82,1
282,5.7,454,7.48,0.46,0.81,16,0.32,0.5,1.34,3.7,2.47,1
